text,transitivity,gpt_transitivity,causativity,gpt_causativity,subject_animacy,gpt_subject_animacy,subject_role,gpt_subject_role,gpt_subject,gpt_verb,gpt_object
"All the videos I'd been uploading to Facebook started getting shared around like crazy with a million and a half views, 2 million views, 3 million views.",transitive,intransitive,causative,anticausative,animate,inanimate,agent,agent,All the videos,uploading,None
The investigation began after discovering the suspect had been uploading images involving child exploitation online.,transitive,transitive,causative,causative,animate,animate,agent,agent,the suspect,uploading,images involving child exploitation online
Elizabeth has been uploading one throwback bikini post a day since Jan.,transitive,transitive,causative,causative,animate,animate,agent,agent,Elizabeth,uploading,one throwback bikini post
"This tester community has been uploading videos to YouTube of them gallivanting around in their Teslas to test the limits of what the Full Self-Driving Beta can do, meaning the software's progress and trajectory over time is reliant on reviews by the YouTubers.",transitive,transitive,causative,causative,animate,animate,agent,agent,This tester community,uploading,videos
"Throughout the holiday, which Haim has dubbed Haimmukah, the group has been uploading fun videos, raising money for charity, and giving away gifts to fans (expensive musical gear and tickets to Licorice Pizza).",transitive,transitive,causative,causative,animate,animate,agent,agent,the group,uploading,fun videos
"For about a year now, Herrod has been uploading videos about the pandemic and American politics.",transitive,transitive,causative,causative,animate,animate,agent,agent,Herrod,uploading,videos about the pandemic and American politics
"On Saturday, Spears wrote a lengthy post in response to critics who apparently felt she should be performing in Las Vegas instead of dancing in clips that she's been uploading to social media.",transitive,transitive,causative,causative,animate,animate,agent,agent,she,uploading,clips
"Cronin is worth following on Twitter, as he's been uploading all kinds of fun BTS images, with my favorite a nod to the demonic Henrietta from the second movie.",transitive,transitive,causative,causative,animate,animate,agent,agent,he,uploading,all kinds of fun BTS images
"She's been uploading videos since June 2020 to help users make the most of Excel, and those uploads have slowly aided Kat in her rise to social media fame.",transitive,transitive,causative,causative,animate,animate,agent,agent,She,uploading,videos
"Some content management systems will upload files to a' media' subdirectory (or something similar) by default, so you might need to circumvent this to get your robots.txt file in the right place.",transitive,transitive,causative,causative,inanimate,inanimate,agent,agent,content management systems,upload,files
"Validate Your Pages by File Upload: When you validate by file upload, you will upload the html files of your choice one file at a time.",transitive,transitive,causative,causative,animate,inanimate,agent,agent,You,upload,the html files
"To use the option, users will upload images to their Roku device through their desktop or mobile phone, which turns their TV into a digital photo album of sorts.",transitive,transitive,causative,causative,animate,animate,agent,agent,users,upload,images
This will upload your GIF from GIPHY as a video on your Instagram account.,transitive,transitive,causative,causative,inanimate,inanimate,agent,agent,This,upload,your GIF from GIPHY
"When any movement is detected, the camera starts recording and will upload a color HD video stream to Canary's servers.",transitive,transitive,causative,causative,inanimate,inanimate,agent,agent,the camera,upload,a color HD video stream
"The Health Security Agency said a total of 40 countries have uploaded 8,040 BA.2 sequences since Nov.",transitive,transitive,causative,causative,inanimate,inanimate,agent,agent,The Health Security Agency,uploaded,"8,040 BA.2 sequences"
"Other countries that have uploaded more than 100 samples are India (530), Sweden (181), and Singapore (127), the agency said.",transitive,transitive,causative,causative,inanimate,inanimate,agent,agent,Other countries,uploaded,more than 100 samples
"Since mid-November, more than three dozen countries have uploaded nearly 15,000 genetic sequences of BA.2 to GISAID, a global platform for sharing coronavirus data.",transitive,transitive,causative,causative,inanimate,inanimate,agent,agent,countries,uploaded,genetic sequences of BA.2
