text,transitivity,gpt_transitivity,causativity,gpt_causativity,subject_animacy,gpt_subject_animacy,subject_role,gpt_subject_role,gpt_subject,gpt_verb,gpt_object
"Updated on Mar 24, 2022 10:57 AM IST",intransitive,intransitive,causative,anticausative,NoSubject,NoSubject,NoSubject,NoSubject,,updated,
"Originally, the National Archives said 12,879 documents were being released but later updated the total due to "" last minute additions.",transitive,transitive,causative,causative,animate,inanimate,agent,agent,the National Archives,updated,the total
"The report covers information about top players, projected size of the market, data and figures to update about where opportunities are in the market, competitor analysis and vendor information.",intransitive,transitive,causative,causative,NoSubject,inanimate,NoSubject,agent,data and figures,update,about where opportunities are in the market
"But he says, when you update software, you can plan to update it at some point in time when your needs change, when maybe a customer has a need or you're doing maintenance, you can take code, you can optimize it, replace it, but AI isn't like that.",transitive,transitive,causative,causative,animate,animate,agent,agent,you,update,software
A community meeting will be held in December to update neighborhood residents about the project's progress.,transitive,transitive,causative,causative,NoSubject,inanimate,NoSubject,agent,A community meeting,update,neighborhood residents
"The terminal work will include enlarging the TSA security checkpoint, updating the checked luggage system and baggage screening technology, adding an upper-level concourse with new jet bridge gates, and expanding the arrival and customs inspection area for international travelers.",transitive,transitive,causative,causative,NoSubject,inanimate,NoSubject,agent,The terminal work,updating,the checked luggage system and baggage screening technology
This article has been updated to note a tweet from Elon Musk that notes the first production cars to be produced at the Berlin factory will be handed out on Tuesday.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,This article,updated,
FIFA's official world rankings are the widely accepted quantifications of team quality (or lack of) and they have now been updated for the final time before the World Cup kicks off on November 20.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,they,updated,
"The write-up, among other things, calls for reducing fill, creating a city-wide water plan, including how public properties must include requirements to infiltrate and store storm water, as well as updating the comprehensive plan and conducting a groundwater assessment.",transitive,transitive,causative,causative,NoSubject,inanimate,NoSubject,agent,The write-up,updating,the comprehensive plan
Editor's note: This story was updated to show the Salt Lake City Council approved a $425.5 million budget (not $424 million).,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,This story,updated,
This story was updated at 10:46 a.m.,intransitive,transitive,causative,anticausative,inanimate,inanimate,patient,patient,This story,updated,at 10:46 a.m.
Analyzing and updating your portfolio periodically is one way to ensure that it stays in sync with your investment objectives.,transitive,transitive,causative,causative,NoSubject,animate,NoSubject,agent,Analyzing and updating your portfolio periodically,updating,your portfolio periodically
"Meanwhile, another 172 countries have not updated their targets, the group said.",transitive,transitive,causative,causative,animate,animate,agent,agent,another 172 countries,updated,their targets
"Meta is adding new parental control features for its Quest virtual reality headsets and updating control features in Instagram, the company announced Tuesday.",transitive,transitive,causative,causative,animate,inanimate,agent,agent,Meta,updating,control features
"Follow the prompts that come up to update any available info for out-of-date contacts, to add people you email regularly into your contacts, and to merge any duplicate entries into single consolidated entries.",transitive,transitive,causative,causative,NoSubject,NoSubject,NoSubject,NoSubject,NoSubject,update,any available info for out-of-date contacts
