var,metric,value,verb
causativity,precision,0.22,film
causativity,recall,1.0,film
causativity,fscore,0.35,film
causativity,accuracy,0.6,film
subject_animacy,precision,0.82,film
subject_animacy,recall,0.97,film
subject_animacy,fscore,0.89,film
subject_animacy,accuracy,0.91,film
subject_role,precision,0.77,film
subject_role,recall,0.92,film
subject_role,fscore,0.84,film
subject_role,accuracy,0.86,film
transitivity,precision,0.86,film
transitivity,recall,0.88,film
transitivity,fscore,0.87,film
transitivity,accuracy,0.87,film
