text,transitivity,gpt_transitivity,causativity,gpt_causativity,subject_animacy,gpt_subject_animacy,subject_role,gpt_subject_role,gpt_subject,gpt_verb,gpt_object
Use perforated PVC pipe or a flexible black pipe and install No.,transitive,intransitive,causative,anticausative,animate,inanimate,agent,agent,(implied subject),install,
"This phone comes with that Vive Flow controller app, but you can install it on any Android phone that supports miracast and get the same features.",transitive,transitive,causative,causative,animate,animate,agent,agent,you,install,it
"In doing so, you can make ground rules such as no driving unless absolutely necessary, or ensure they have a car seat installed at all times.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,a car seat,installed,
"Other school systems, such as Madison County Schools and Dothan City Schools, are installing new crisis alert systems that will enable school employees to get emergency help or activate a lockdown.",transitive,transitive,causative,causative,animate,animate,agent,agent,"Other school systems, such as Madison County Schools and Dothan City Schools",installing,new crisis alert systems
Installing the Windmill (opens in a new tab) was comically easy.,transitive,transitive,causative,anticausative,animate,inanimate,agent,patient,Installing the Windmill (opens in a new tab),installing,the Windmill (opens in a new tab)
"Halogen heaters are good for small areas which keep energy usage to a minimum, as they are environmentally friendly, they do not produce Co/Co2, and they are very easy to install, "" says Mark Ronald, lead engineer at Hometree, the boiler and home cover provider.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,they,install,
Nor did MTA officials immediately answer a very thoughtful question from a reporter -- the Daily News' Clayton Guse -- when he asked if the station had that specific feature installed as per the Americans with Disabilities Act.,intransitive,transitive,causative,causative,inanimate,inanimate,patient,patient,the station,installed,that specific feature
"Dubbed SessionManager, the malicious software poses as a legitimate module for Internet Information Services (IIS), the web server installed by default on Exchange servers.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,the web server,installed,
We also install the forward-facing convertible in the second row's middle seat with the booster and infant seat in the outboard seats to see if three car seats will fit; a child sitting in the booster seat must be able to reach the seat belt buckle.,transitive,transitive,causative,causative,animate,animate,agent,agent,We,install,the forward-facing convertible
"If you purchase a computer that doesn't have an SSD, you may see something like Costco warned about on its website: "" After the initial boot up of your laptop, your device may experience performance lags for approximately the first one to two hours as performance features are downloaded and installed.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,performance features,installed,
"While Baskies added that more research is needed on the topic, some companies are already approaching hospital networks looking to install these electronic monitoring systems.",transitive,transitive,causative,causative,animate,animate,agent,agent,some companies,install,these electronic monitoring systems
"This tubular, rolling device installed on top of a fence prevents coyotes from climbing over by deterring their grip.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,"This tubular, rolling device",installed,
"Thereafter, every time you click to install an Android app you're rerouted to the Amazon Appstore -- even if the app is free.",transitive,transitive,causative,causative,animate,animate,agent,agent,you,install,an Android app
The park's amphitheater benches are installed and work is underway on a pedestrian bridge and hanging gardens.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,The park's amphitheater benches,installed,
Linux has several viable routes to installing applications.,transitive,intransitive,causative,anticausative,inanimate,inanimate,agent,agent,Linux,installing,applications
"Through his involvement with Iskashitaa, Maoundonodji was placed with a Tucson-based landscape design company called Desert Living, where he worked as a water harvesting tech, helping to install rainwater and greywater collection systems.",transitive,transitive,causative,causative,animate,animate,agent,agent,he,install,rainwater and greywater collection systems
You really need a liquid cooling loop like the one I installed in the Maverick in order to remove this heat effectively.,transitive,transitive,causative,causative,animate,animate,agent,agent,I,installed,a liquid cooling loop
"My mother died on Monday 7 April in the old people's home attached to the hospital at Pontoise, where I had installed her two years previously, "" she starts her 1987 reminiscence "" A Woman's Story, "" which echoes Albert Camus' opening sentence in "" The Stranger "": "" Mother died today.",transitive,transitive,causative,causative,animate,animate,agent,agent,I,installed,her
How to install and run Brackets,transitive,transitive,causative,causative,animate,inanimate,agent,agent,How to,install,Brackets
"For over 25 years, the agency has designed, shipped, or installed custom glass frameless shower door enclosures for homeowners and contractors.",transitive,transitive,causative,causative,animate,animate,agent,agent,the agency,installed,custom glass frameless shower door enclosures
Automated passenger counters are installed on 43% of buses.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,Automated passenger counters,installed,
"If you install Bitdefender, Norton, McAfee, or any other recognized solution, Defender suspends its operations, quietly watching from the background.",transitive,transitive,causative,causative,animate,animate,agent,agent,you,install,"Bitdefender, Norton, McAfee, or any other recognized solution"
"The city of Seoul announced in September that it will add 62,000 electric motorcycles, including e-mopeds, and install 200,000 additional electric charging stations by 2025 in an effort to reduce greenhouse gas emissions.",transitive,transitive,causative,causative,animate,animate,agent,agent,it,install,"200,000 additional electric charging stations"
"They changed the trim from white to tan, poured a new sidewalk and installed a new, oval-shaped door made from Brazilian pine.",transitive,transitive,causative,causative,animate,animate,agent,agent,They,installed,"a new, oval-shaped door made from Brazilian pine"
But that characteristic can become much more combustible when justices installed by an earlier political majority systematically move to block the agenda of the coalition that succeeds it.,intransitive,transitive,causative,causative,animate,animate,patient,agent,justices,installed,by an earlier political majority
"Shutters is teaming up with Molekule to have the brand's popular air purifiers installed in its hotel rooms, to give guests a way to monitor and improve their indoor air quality.",intransitive,transitive,causative,causative,inanimate,inanimate,patient,patient,air purifiers,installed,in its hotel rooms
