var,metric,value,verb
causativity,precision,0.32,screen
causativity,recall,1.0,screen
causativity,fscore,0.48,screen
causativity,accuracy,0.73,screen
subject_animacy,precision,0.86,screen
subject_animacy,recall,0.95,screen
subject_animacy,fscore,0.9,screen
subject_animacy,accuracy,0.92,screen
subject_role,precision,0.97,screen
subject_role,recall,0.77,screen
subject_role,fscore,0.86,screen
subject_role,accuracy,0.9,screen
transitivity,precision,0.97,screen
transitivity,recall,0.93,screen
transitivity,fscore,0.95,screen
transitivity,accuracy,0.96,screen
