text,transitivity,gpt_transitivity,causativity,gpt_causativity,subject_animacy,gpt_subject_animacy,subject_role,gpt_subject_role,gpt_subject,gpt_verb,gpt_object
Who are you streaming our satellite data to?,transitive,transitive,causative,causative,animate,animate,agent,agent,you,streaming,our satellite data
But the facts at hand indicate she was streaming intel from her station.,transitive,transitive,causative,causative,animate,animate,agent,agent,she,streaming,intel
She wasn't streaming intel.,transitive,transitive,causative,causative,animate,animate,agent,agent,She,streaming,intel
""" You ought to see how many sites we're streaming this to. """,transitive,transitive,causative,causative,animate,animate,agent,agent,we,streaming,this
"Persian rugs were scattered on the dirt floor, halogen desk lamps illuminating single sideband radios, weather fax machines, and laptops, one of which was streaming Al Jazeera, the television network from Qatar, and another a CNN feed from London.",transitive,transitive,causative,causative,inanimate,inanimate,agent,agent,one,streaming,"Al Jazeera, the television network from Qatar"
"These two, the videographer and the director, work for the show That's So Fucked Up, which streams every evening on the popular Sex, Lies, and Celebrities Channel.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,agent,which,streams,
""" We're on a tight schedule here, "" the director says. "" We're streaming for the East Coast markets in two hours. So could you please take your ethical qualms outside? Just, well, out there. """,intransitive,intransitive,causative,anticausative,animate,animate,agent,agent,We,streaming,
"Starting July 13, The Office will begin streaming 10 2-min. "" webisodes "" through",transitive,intransitive,causative,anticausative,inanimate,inanimate,agent,agent,The Office,streaming,
""" Orbital image only. You're still not streaming. "" ",intransitive,intransitive,causative,anticausative,animate,inanimate,agent,patient,You,streaming,
"Many programs can be streamed on the Net, and have massive audiences that include elected officials and media professionals. ",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,Many programs,streamed,
"The HomePod, which wirelessly hooks into your home LAN via an 802.11b network, lets you stream music files from any computer in the house to any speaker or headphone set. ",transitive,transitive,causative,causative,animate,inanimate,agent,agent,you,stream,music files
"Six new advertising-supported online TV channels streaming free, on-demand episodes of shows such as Sisters, Beetlejuice, La Femme Nikita, Chico and the Man, Eight is Enough, Spenser: For Hire and The New Adventures of Batman.",transitive,intransitive,causative,anticausative,inanimate,inanimate,agent,agent,Six new advertising-supported online TV channels,streaming,
"Nothing ongoing episode-wise, but last month the site streamed episodes of CBS' Two and a Half Men and How I Met Your Mother without commercials for a limited time.",transitive,transitive,causative,causative,inanimate,inanimate,agent,agent,the site,streamed,episodes of CBS' Two and a Half Men and How I Met Your Mother
"The NFL, NBA and NHL have all started their own cable and satellite TV networks, and Major League Baseball streams its games onto its Web site.",transitive,transitive,causative,causative,animate,animate,agent,agent,Major League Baseball,streams,its games
"The many currents of Jewish Diaspora music can be heard on the Milken Archive series on the Naxos label: currently about 600 works on 50 individual recordings, now available as budget CDs (less than $10) or streamed off the Internet at the naxos.com Web site.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,600 works,streamed,
"Because that's all I'm talking about: a table radio, though one that, assuming you have a broadband connection and wireless network in your house, lets you tune in to almost any station anywhere that's streaming its signal on the Net. ",transitive,intransitive,causative,anticausative,animate,inanimate,agent,patient,its signal,streaming,
"At Pandora.com, users can type in a song or an artist that they like and almost instantaneously the website starts streaming song after song in the same genre. ",transitive,intransitive,causative,anticausative,inanimate,inanimate,agent,agent,the website,streaming,
Others have spoken about video streaming all open government meetings.,transitive,transitive,causative,causative,animate,animate,agent,agent,Others,streaming,all open government meetings
How about a sound bite that I can stream on your page?,transitive,transitive,causative,causative,animate,animate,agent,agent,I,stream,a sound bite
"Then Wade said, "" It was a nice funeral. "" "" You watched? "" "" Several people streamed it to me. You did a nice job, Lucas. """,transitive,transitive,causative,causative,animate,animate,agent,agent,several people,streamed,it
"How could he not have been, what with the security check-in line running out of the terminal all the way to the parking structure, and with every ceiling-hung TV along the concourse tuned to CNN or Fox, still streaming images from the bombings in Europe last Thursday? ",transitive,transitive,causative,causative,animate,inanimate,agent,agent,every ceiling-hung TV,streaming,images from the bombings in Europe last Thursday
I have streamed an Internet confession to every college student in the entire country.,transitive,transitive,causative,causative,animate,animate,agent,agent,I,streamed,an Internet confession
"Her brainstream converted to text. Everyone could stream some text, but children who started young trained their brains to stream fast",transitive,transitive,causative,causative,animate,animate,agent,agent,everyone,stream,some text
"Her brainstream converted to text. Everyone could stream some text, but children who started young trained their brains to stream fast.",intransitive,transitive,causative,causative,inanimate,animate,agent,agent,everyone,stream,some text
I've been getting my ass kicked by these fucking demons and almost killed and you've been watching and you've been live streaming it?,transitive,transitive,causative,causative,animate,animate,agent,agent,you,streaming,it
"You've been sitting there streaming me the whole time, was this just for your enjoyment?",transitive,transitive,causative,causative,animate,animate,agent,agent,You,streaming,me
