text,transitivity,gpt_transitivity,causativity,gpt_causativity,subject_animacy,gpt_subject_animacy,subject_role,gpt_subject_role,gpt_subject,gpt_verb,gpt_object
Those interested in learning more about Instawork should visit www.instawork.com or download the app.,transitive,transitive,causative,causative,animate,animate,agent,agent,those interested in learning more about Instawork,download,the app
"ClearBridge Investments, an investment management firm, published its "" Sustainability Leaders Strategy "" first quarter 2022 investor letter -- a copy of which can be downloaded here.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,a copy of which,downloaded,
"Alongside Battlefield 2042, Xbox Live Gold subscribers can also download and play The Sinking City and Star Renegades until the 9th of January.",transitive,transitive,causative,causative,animate,animate,agent,agent,Xbox Live Gold subscribers,download,The Sinking City and Star Renegades
Download the FanDuel Sportsbook app.,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,the FanDuel Sportsbook app
"For more information on travel offerings, including Early 2022 Deals with discounts starting at 15%, visit Booking.com or download the Booking.com app.",transitive,transitive,causative,causative,animate,animate,agent,agent,you (implied),download,the Booking.com app
[...] and download a copy of the proposed ordinance.,transitive,transitive,causative,causative,animate,animate,agent,agent,you (implied),download,a copy of the proposed ordinance
Download and add the Water Eject shortcut .,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,the Water Eject shortcut
Download our local news and weather app foriOSorAndroid -- and choose the alerts you want.,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,our local news and weather app
"The patch, which is Microsoft Flight Simulator's ninth update, is live now and free to download.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,The patch,download,
Download the Pac-12 Now App today and set alerts for Pac-12 women's basketball to make sure you never miss a moment of the action.,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,the Pac-12 Now App
DOWNLOAD NOW The homeowners came to us looking to update the kitchen in their historic 1897 home.,intransitive,intransitive,causative,anticausative,animate,animate,agent,agent,the homeowners,download,
Download and Upgrade the Volcanoes & Earthquakes app to get one of the fastest seismic and volcano alerts online:,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,the Volcanoes & Earthquakes app
"If you win, print or download your permits before you get to the Angels Landing trailhead.",transitive,transitive,causative,causative,animate,animate,agent,agent,you,download,your permits
Download the audio files to hear exact pronunciations.,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,the audio files
"Currently, viewers can download the Bally Sports Southwest app, but each must have a separate cable or streaming account to watch.",transitive,transitive,causative,causative,animate,animate,agent,agent,viewers,download,the Bally Sports Southwest app
"The company's games have been downloaded more than 50 million times and have approximately 700,000 daily active users globally.",intransitive,intransitive,causative,causative,inanimate,inanimate,patient,patient,The company's games,downloaded,
"You can also download Alexa Skills to turn your TV into the ultimate entertainment hub, check the weather, and even play games.",transitive,transitive,causative,causative,animate,animate,agent,agent,You,download,Alexa Skills
Download the Pac-12 Now App today and set alerts for Pac-12 football to make sure you never miss a moment of the action.,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,the Pac-12 Now App
"Over 3.5 million consumers have downloaded the Sezzle app with almost 800,000 downloads occurring in 4Q21.",transitive,transitive,causative,causative,animate,animate,agent,agent,Over 3.5 million consumers,downloaded,the Sezzle app
Download the Lefant app to pair the Wi-Fi-enabled vac with your smartphone or device -- the better to control the appliance remotely.,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,the Lefant app
"Horos Asset Management, an investment management firm, published its first-quarter 2022 investor letter -- a copy of which can be downloaded here.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,a copy of which,downloaded,
"Miller Value Partners, an investment management firm, published its "" Miller Value Partners Income Strategy "" second-quarter 2022 investor letter -- a copy of which can be downloaded here.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,a copy,downloaded,
"Instead, the process begins by downloading the software and installing it to your computer.",transitive,transitive,causative,causative,animate,inanimate,agent,agent,the process,downloading,the software
"Amplitude's tools helped Peloton Interactive realize that social interaction was key to its growth, and guide Burger King's "" Whopper Detour "" campaign, which offered a Whopper for a penny to customers near a McDonald's when they downloaded the app.",transitive,transitive,causative,causative,animate,animate,agent,agent,they,downloaded,the app
Download Insider's app here.,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,Insider's app
Download the mobile app.,transitive,transitive,causative,causative,animate,animate,agent,agent,(implied 'you'),download,the mobile app
Download and Upgrade the Volcanoes & Earthquakes app to get one of the fastest seismic and volcano alerts online:,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,the Volcanoes & Earthquakes app
My body is ready for Trek to Yomi and I am going to be downloading it in a few minutes!!!!! ,transitive,transitive,causative,causative,animate,animate,agent,agent,I,downloading,it
Download the Amp app and tune in at 11 a.m.,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,the Amp app
Download our local news and weather app foriOSorAndroid -- and choose the alerts you want.,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,our local news and weather app for iOS or Android
"In past hearings, it was said about 25,000 Facebook pages were downloaded from iPad, computers and phones as evidence.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,"about 25,000 Facebook pages",downloaded,"from iPad, computers and phones"
Golfers can experience the power of the iTQ with a free 14-day trial by downloading it on the App Store,transitive,transitive,causative,causative,animate,animate,agent,agent,golfers,downloading,it
"Without further ado, here are the 13 best PC games you can download on your PC today.",transitive,transitive,causative,causative,animate,animate,agent,agent,you,download,the 13 best PC games
Find and download the right webcam app for Android or iPhone.,transitive,transitive,causative,causative,animate,animate,agent,agent,you (implied),download,the right webcam app for Android or iPhone
"Who's going to charge the drone, update it, download its footage, and be the oft legally required visual observer to make sure it doesn't crash into anything nearby?",transitive,transitive,causative,causative,animate,animate,agent,agent,who,download,its footage
