text,year,period,genre,source,gpt_transitivity,gpt_causativity,gpt_subject_animacy,gpt_subject_role,gpt_pos,gpt_subject,gpt_verb,gpt_object
", marking the edges of the great crust blocks into which the country has been broken. The highest part of the plateau is a crust block ninety miles long and",1905,1900-09,NF/ACAD,ElementsGeology,intransitive,anticausative,inanimate,patient,verb,the country,broken,
"where the bang of a rifle following the roar of a birch-bark trumpet has never broken the twilight stillness, there you may find him still, as he was before",1902,1900-09,NF/ACAD,WoodFolkAtSchool,intransitive,anticausative,inanimate,patient,verb,the twilight stillness,broken,
made 127 // for this purpose and in such a shape that the head will break at a high strain. This done use the calking iron all around the patch,1904,1900-09,NF/ACAD,ModernBlacksmithing,intransitive,anticausative,inanimate,patient,verb,the head,break,
"delight; somebody that made Miss Felicia raise her head and listen, a light breaking over her face. Then Peter's head was thrust in the door: """,1908,1900-09,FIC,PeterNovelWhich,intransitive,anticausative,inanimate,patient,verb,a light,breaking,
"with the sounds and sweet smells of the woods, and not a ripple would break the dimples of the stream before me. But when, one late afternoon,",1901,1900-09,NF/ACAD,SecretWoods,intransitive,anticausative,inanimate,patient,verb,a ripple,break,
"to the speech. "" Are you making trial of your strength that you may break more readily into Carthaginian houses? Remember it is soldiers with whom you are to",1901,1900-09,FIC,LionsBrood,intransitive,anticausative,animate,agent,verb,you,break,Carthaginian houses
"good man. I shall always love him. Listen to Otto -- it'll break my heart if you frown on my marrying the man I love. "" There",1906,1900-09,FIC,FortuneHunter,transitive,causative,inanimate,agent,verb,it,break,my heart
". This was the counting and sorting of the skins. The packing-case had been broken open, and the scanty but precious contents littered an improvised table in the hold",1903,1900-09,FIC,DealInWheatOther,intransitive,anticausative,inanimate,patient,verb,the packing-case,broken,
"the buildings on Grande Terre and Grande Isle were destroyed and the piratical lurking-place utterly broken up. This done, the fleet sailed in triumph for New Orleans, bringing",1904,1900-09,NF/ACAD,HistoricalTales,intransitive,anticausative,inanimate,patient,verb,the piratical lurking-place,broken,
"proud to be seen in company with a poor man. "" Well, I broke through his crust that time, an' we sidled into a feed-joint, where",1909,1900-09,FIC,HappyHawkins,intransitive,anticausative,animate,agent,verb,I,broke,
"at that moment, lying on her bed and crying as if her heart would break, Mac might have found the situation less hopeless. CHAPTER 21. THE SIGNAL",1908,1900-09,FIC,WyomingStoryOutdoor,intransitive,anticausative,inanimate,patient,verb,her heart,break,
"insists on cultivating a new kind. That of 1860, if it were to break into blossom at the present moment, would probably be left to fade upon the",1903,1900-09,FIC,PonkapogPapers,intransitive,anticausative,inanimate,patient,verb,that of 1860,break,
"had then seemed, much had become possible. He had emancipated his slaves, broken up his harem, given the overflow of his possessions to the needy, and",1905,1900-09,FIC,INRI APrisoners,transitive,causative,animate,agent,verb,he,broken,up his harem
