text,year,period,genre,source,gpt_transitivity,gpt_causativity,gpt_subject_animacy,gpt_subject_role,gpt_pos,gpt_subject,gpt_verb,gpt_object
"if one of the notes sticks, or I perceive that the phrase might be improved by a slightly changed stress, I can check my spontaneous movements and correct the",1903,1900-09,NF/ACAD,NatureGoodness,intransitive,anticausative,inanimate,patient,verb,the phrase,improved,
"different from all the rest. He was dressed plainly; he needed nothing to improve his natural appearance, for his majestic form, his noble countenance and lustrous eyes",1902,1900-09,FIC,CaliforniaGirl,transitive,causative,animate,agent,verb,he,improve,his natural appearance
"of news a day, whether there be any news or not, has not improved the quality of the daily letters which, naturally enough, the local press of",1905,1900-09,MAG,Outlook,intransitive,anticausative,inanimate,patient,verb,the quality of the daily letters,improved,
"-- brac and a little vase containing joss-sticks, such as one might burn to improve the atmosphere of these dingy, damp houses. Below the mantel-piece is a thirty-six",1909,1900-09,FIC,Play:EasiestWay,intransitive,anticausative,inanimate,agent,verb,one,improve,
"usually grown. # The mechanical effects of alfalfa upon the land are beneficent. It improves the tilth by means of the shade furnished, and the extent to which the",1906,1900-09,NF/ACAD,CloversHowGrow,transitive,causative,inanimate,agent,verb,it,improves,the tilth
"All we have to do is to take nature's hint of the anti-bodies and improve upon it. Healthy cells can grow fat on a diet of such germs,",1909,1900-09,NF/ACAD,PreventableDiseases,intransitive,anticausative,animate,agent,verb,we,improve,
"possession "" a hint of the industrious manner in which Great Britain had attempted to improve her position by permitting colonization, and by other acts of possession, during the",1901,1900-09,MAG,Century,transitive,causative,animate,agent,verb,Great Britain,improve,her position
difficulty. The situation is one which necessarily worsens by the mere fact of not improving. No wonder that the German official press is again pessimistic. The Chinese Government,1900,1900-09,MAG,Nation,intransitive,anticausative,inanimate,patient,verb,difficulty,improve,
"his hand gently on his head. And so the years went by. Jesus improved in his work, and grew in intelligence, and in cheerfulness. The Sabbath",1905,1900-09,FIC,INRI APrisoners,intransitive,anticausative,animate,agent,verb,Jesus,improved,
"that there was a bird. "" She turned toward the box. Billy had improved the time. He had the last piece of cake in one hand, and",1909,1900-09,FIC,GirlLimberlost,transitive,causative,animate,agent,verb,Billy,improved,the time
"means unintelligent. He is bright enough, and he has had unrivalled opportunities of improving his by no means contemptible natural gifts. IIe can, form a rational opinion",1902,1900-09,MAG,Cosmopolitan,intransitive,anticausative,animate,agent,verb,he,improving,
"was gratifying. The business center was far away, but I had learned to improve the time consumed in transit, and our cool eyrie was refreshing after the city",1901,1900-09,FIC,VanDwellers,transitive,causative,animate,agent,verb,I,improve,the time consumed in transit
"voice and said quietly: "" Was I not doing better? Was I not improving in my work? "" "" I should not care to speak positively, but",1904,1900-09,FIC,WinningHisQuot,intransitive,anticausative,animate,agent,verb,I,improving,
"best in the place, and since I had come of age I had greatly improved it. I had a fair inheritance from my mother, and this my grandmother",1900,1900-09,FIC,HouseMartha,transitive,causative,animate,agent,verb,I,improved,it
